name,classification,profile_url,photo_url,mugshot_url,entry_in_ioc,born,games_participated,athlete_profile
Mr Iván DIBÓS,IOC honorary members,https://www.olympics.com/ioc/mr-ivan-dibos,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272692/primary/qjkuuzjkjanlvxeolcdp,1982,18-Jan-39,,
Mr Willi KALTSCHMITT LUJÁN,IOC honorary members,https://www.olympics.com/ioc/mr-willi-kaltschmitt-lujan,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272654/primary/mczuurawjgc901tibomh,1988,13-Aug-39,,
"Sir Austin L. SEALY, KT",IOC honorary members,https://www.olympics.com/ioc/sir-austin-l-sealy-kt,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272612/primary/cboko6yqedbxnpsnetga,1994,17-Sep-39,,
Mr Samih MOUDALLAL,IOC honorary members,https://www.olympics.com/ioc/mr-samih-moudallal,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272557/primary/cddf7g17lt6zm8fptr5w,1998,20-Sep-39,,
Mr Habu GUMEL,IOC honorary members,https://www.olympics.com/ioc/mr-habu-gumel,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272522/primary/wj5dxongfgkbvi2pqlcj,2009,01-Apr-49,,
Mrs Beatrice ALLEN,IOC honorary members,https://www.olympics.com/ioc/mrs-beatrice-allen,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272485/primary/v6nk2l3csu5gizm7y7ls,2006,08-Aug-50,,
HM King Frederik X,IOC honorary members,https://www.olympics.com/ioc/hm-king-frederik-x,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272455/primary/klk7hud7dkwl58z2z2jj,2009,26-May-68,,
Sir Craig REEDIE GBE,IOC honorary members,https://www.olympics.com/ioc/sir-craig-reedie,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272422/primary/njjdw271dsp2pidzjbep,1994,06-May-41,,
"Mr Richard W. POUND, K.C., Ad. E.",IOC honorary members,https://www.olympics.com/ioc/mr-richard-w-pound-k-c-ad-e,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272368/primary/t59if5f3uq1ygdkhp59d,1978,22-Mar-42,1960,Richard W. POUND
Mr Pál SCHMITT,IOC honorary members,https://www.olympics.com/ioc/mr-pal-schmitt,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272332/primary/niahfvdgnmixwu8db6l5,1983,13-May-42,"1968, 1972, 1976",Pal SCHMITT
"Mr John COATES, AC",IOC honorary members,https://www.olympics.com/ioc/mr-john-coates-ac,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699266767/primary/f56ggczcty9ktzsp20dk,2001,07-May-50,,
Prof. Uğur ERDENER,IOC honorary members,https://www.olympics.com/ioc/prof-ugur-erdener,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699267042/primary/icxp3ewe6t5telby5szp,2008,25-Jun-50,,
Mrs Marisol CASADO,IOC honorary members,https://www.olympics.com/ioc/mrs-marisol-casado,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699267155/primary/bjwiqki1gzxyy8lixgge,2010,11-Oct-56,,
Mr Francesco RICCI BITTI,honour member,https://www.olympics.com/ioc/mr-francesco-ricci-bitti,,https://img.olympics.com/images/image/private/t_original_380/f_auto/primary/mrvocohrenxchu1lic5p,2025,15-Jan-42,,
Mr Ban KI-MOON,honour member,https://www.olympics.com/ioc/mr-ban-ki-moon,,https://img.olympics.com/images/image/private/t_original_380/f_auto/primary/bdo8qu48d68hju9oxdfu,2025,15-Jun-44,,
Mr Carlos Arthur NUZMAN (Provisionally suspended),suspended honorary member,https://www.olympics.com/ioc/mr-carlos-arthur-nuzman,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699274448/primary/czbqfkkbw3vabccruwpj,2000,17-Mar-42,1964,Carlos Arthur NUZMAN
